keypressed,sensor 0,sensor 1,sensor 2,sensor 3time
0,2049,2044,2049,2043,0.07804322242736816
0,2051,2047,2052,2049,0.07804322242736816
0,2052,2050,2065,2051,0.07804322242736816
0,2052,2058,2055,2053,0.07804322242736816
0,2047,2057,2053,2054,0.07804322242736816
0,2053,2060,2059,2051,0.07804322242736816
0,2057,2065,2067,2058,0.07804322242736816
0,2054,2061,2061,2060,0.07804322242736816
0,2054,2061,2059,2053,0.07804322242736816
0,2053,2064,2061,2057,0.07804322242736816
0,2055,2062,2060,2056,0.07804322242736816
0,2061,2068,2066,2063,0.07804322242736816
0,2061,2070,2061,2063,0.07804322242736816
0,2060,2069,2068,2060,0.07804322242736816
0,2059,2072,2061,2061,0.07804322242736816
0,2057,2068,2064,2061,0.07804322242736816
0,2061,2066,2065,2061,0.07804322242736816
0,2061,2069,2067,2058,0.07804322242736816
0,2064,2064,2062,2064,0.07804322242736816
0,2060,2064,2064,2063,0.07804322242736816
0,2064,2061,2065,2062,0.07804322242736816
0,2061,2065,2059,2058,0.07804322242736816
0,2060,2062,2060,2057,0.07804322242736816
0,2056,2061,2057,2058,0.07804322242736816
0,2057,2058,2059,2051,0.07804322242736816
0,2053,2057,2055,2053,0.07804322242736816
0,2055,2051,2053,2053,0.07804322242736816
0,2053,2050,2057,2046,0.07804322242736816
0,2053,2047,2053,2052,0.07804322242736816
0,2049,2046,2050,2046,0.07804322242736816
0,2046,2047,2056,2043,0.07804322242736816
0,2049,2050,2057,2046,0.07804322242736816
0,2047,2050,2051,2041,0.07804322242736816
0,2052,2050,2051,2049,0.07804322242736816
0,2054,2053,2051,2050,0.07804322242736816
0,2050,2056,2051,2051,0.07804322242736816
0,2056,2052,2056,2053,0.07804322242736816
0,2055,2057,2058,2053,0.07804322242736816
0,2058,2058,2059,2057,0.07804322242736816
0,2053,2058,2062,2052,0.09363722801208496
0,2060,2059,2067,2059,0.09363722801208496
0,2061,2057,2062,2061,0.09363722801208496
0,2063,2060,2061,2062,0.09363722801208496
0,2061,2065,2062,2062,0.09363722801208496
0,2066,2070,2067,2066,0.09363722801208496
0,2062,2067,2070,2065,0.09363722801208496
0,2065,2065,2067,2061,0.09363722801208496
0,2064,2067,2061,2065,0.09363722801208496
0,2063,2066,2060,2068,0.09363722801208496
0,2057,2071,2067,2062,0.09363722801208496
0,2063,2062,2065,2066,0.09363722801208496
0,2063,2064,2064,2062,0.09363722801208496
0,2060,2064,2063,2063,0.09363722801208496
0,2059,2062,2072,2063,0.09363722801208496
0,2060,2064,2058,2061,0.09363722801208496
0,2060,2059,2059,2057,0.09363722801208496
0,2058,2053,2058,2050,0.09363722801208496
0,2055,2050,2052,2054,0.09363722801208496
0,2058,2052,2057,2051,0.09363722801208496
0,2055,2047,2058,2051,0.09363722801208496
0,2051,2047,2053,2047,0.09363722801208496
0,2050,2042,2044,2045,0.09363722801208496
0,2051,2047,2054,2045,0.09363722801208496
0,2047,2046,2052,2043,0.09363722801208496
0,2051,2051,2050,2045,0.09363722801208496
0,2047,2051,2051,2046,0.09363722801208496
0,2050,2046,2054,2050,0.09363722801208496
0,2049,2055,2056,2046,0.09363722801208496
0,2050,2058,2052,2051,0.09363722801208496
0,2055,2061,2053,2054,0.09363722801208496
0,2054,2060,2065,2051,0.09363722801208496
0,2055,2061,2061,2059,0.09363722801208496
0,2056,2061,2059,2057,0.09363722801208496
0,2057,2063,2059,2058,0.09363722801208496
0,2061,2062,2055,2060,0.09363722801208496
0,2058,2067,2064,2060,0.09363722801208496
0,2064,2071,2067,2065,0.09363722801208496
0,2056,2070,2069,2062,0.09363722801208496
0,2058,2069,2061,2062,0.09363722801208496
0,2057,2066,2063,2059,0.09363722801208496
0,2064,2066,2063,2062,0.09363722801208496
0,2064,2064,2066,2062,0.09363722801208496
0,2056,2066,2071,2062,0.09363722801208496
0,2062,2070,2069,2065,0.09363722801208496
0,2057,2059,2063,2065,0.09363722801208496
0,2058,2060,2058,2063,0.09363722801208496
0,2061,2065,2058,2060,0.09363722801208496
0,2060,2064,2060,2062,0.09363722801208496
0,2061,2061,2060,2056,0.09363722801208496
0,2060,2053,2059,2054,0.09363722801208496
0,2054,2053,2057,2052,0.09363722801208496
0,2054,2051,2055,2054,0.09363722801208496
0,2054,2049,2061,2053,0.09363722801208496
0,2054,2046,2054,2047,0.09363722801208496
0,2047,2045,2043,2045,0.09363722801208496
0,2049,2044,2052,2046,0.09363722801208496
0,2047,2047,2049,2042,0.09363722801208496
0,2054,2044,2055,2050,0.09363722801208496
0,2047,2043,2052,2046,0.09363722801208496
0,2050,2045,2055,2043,0.09363722801208496
0,2051,2047,2056,2044,0.10925889015197754
0,2054,2051,2053,2051,0.10925889015197754
0,2051,2052,2057,2052,0.10925889015197754
0,2057,2053,2051,2050,0.10925889015197754
0,2055,2054,2060,2057,0.10925889015197754
0,2053,2061,2059,2054,0.10925889015197754
0,2056,2061,2059,2056,0.10925889015197754
0,2056,2059,2062,2059,0.10925889015197754
0,2058,2057,2059,2057,0.10925889015197754
0,2061,2063,2064,2059,0.10925889015197754
0,2060,2072,2063,2068,0.10925889015197754
0,2063,2073,2065,2067,0.10925889015197754
0,2062,2065,2063,2062,0.10925889015197754
0,2062,2068,2064,2064,0.10925889015197754
0,2065,2069,2068,2062,0.10925889015197754
0,2062,2069,2062,2062,0.10925889015197754
0,2060,2066,2065,2065,0.10925889015197754
0,2060,2066,2068,2063,0.10925889015197754
0,2062,2066,2063,2062,0.12494516372680664
0,2061,2063,2063,2061,0.12544870376586914
0,2060,2058,2064,2059,0.12544870376586914
0,2057,2060,2064,2061,0.12544870376586914
0,2057,2062,2056,2056,0.12544870376586914
0,2056,2055,2051,2053,0.12544870376586914
0,2051,2057,2059,2053,0.12544870376586914
0,2056,2055,2051,2052,0.12544870376586914
0,2052,2050,2060,2049,0.12544870376586914
0,2056,2053,2051,2054,0.12544870376586914
0,2051,2051,2047,2047,0.12544870376586914
0,2052,2047,2054,2052,0.12544870376586914
0,2044,2046,2056,2043,0.12544870376586914
0,2051,2047,2050,2047,0.12544870376586914
0,2046,2044,2056,2046,0.12544870376586914
0,2049,2052,2053,2049,0.12544870376586914
0,2053,2047,2056,2051,0.12544870376586914
0,2054,2055,2056,2055,0.12544870376586914
0,2052,2056,2051,2053,0.12544870376586914
0,2055,2057,2056,2050,0.12544870376586914
0,2056,2057,2064,2057,0.12544870376586914
0,2059,2062,2065,2056,0.12544870376586914
0,2056,2060,2060,2058,0.12544870376586914
0,2061,2064,2065,2060,0.12544870376586914
0,2062,2068,2061,2062,0.14107322692871094
0,2068,2065,2066,2062,0.14107322692871094
0,2062,2065,2063,2065,0.14107322692871094
0,2065,2066,2069,2067,0.14107322692871094
0,2064,2064,2061,2064,0.14107322692871094
0,2063,2064,2061,2064,0.14107322692871094
0,2057,2067,2064,2060,0.14107322692871094
0,2062,2066,2066,2062,0.14107322692871094
0,2061,2065,2069,2062,0.14107322692871094
0,2062,2060,2063,2062,0.14107322692871094
0,2060,2060,2061,2063,0.14107322692871094
0,2061,2060,2059,2061,0.14107322692871094
0,2058,2058,2060,2058,0.14107322692871094
0,2058,2056,2059,2055,0.14107322692871094
0,2050,2054,2057,2051,0.14107322692871094
