keypressed,sensor 0,sensor 1,sensor 2,sensor 3time
0,2057,2056,2058,2056,0.07817649841308594
0,2043,2060,2059,2058,0.07817649841308594
0,2055,2056,2063,2058,0.07817649841308594
0,2055,2059,2062,2056,0.07817649841308594
0,2049,2056,2071,2058,0.07817649841308594
0,2047,2064,2073,2060,0.07817649841308594
0,2045,2065,2076,2062,0.07817649841308594
0,2059,2062,2067,2064,0.07817649841308594
0,2058,2062,2064,2061,0.07817649841308594
0,2053,2060,2059,2061,0.07817649841308594
0,2050,2063,2066,2063,0.07817649841308594
0,2055,2061,2057,2062,0.07817649841308594
0,2053,2062,2060,2062,0.07817649841308594
0,2053,2061,2056,2052,0.07817649841308594
0,2054,2059,2067,2061,0.07817649841308594
0,2059,2054,2057,2055,0.07817649841308594
0,2046,2054,2063,2055,0.07817649841308594
0,2057,2055,2061,2051,0.07817649841308594
0,2064,2055,2063,2052,0.07817649841308594
0,2059,2058,2063,2051,0.07817649841308594
0,2062,2052,2056,2047,0.07817649841308594
0,2062,2050,2058,2039,0.07817649841308594
0,2049,2046,2062,2050,0.07817649841308594
0,2053,2054,2055,2050,0.07817649841308594
0,2054,2052,2053,2050,0.07817649841308594
0,2052,2050,2060,2042,0.07817649841308594
0,2051,2051,2056,2047,0.07817649841308594
0,2043,2051,2051,2053,0.07817649841308594
0,2052,2053,2053,2053,0.07817649841308594
0,2064,2053,2050,2053,0.07817649841308594
0,2059,2058,2057,2056,0.07817649841308594
0,2060,2056,2057,2052,0.07817649841308594
0,2055,2056,2053,2056,0.07817649841308594
0,2051,2059,2055,2056,0.07817649841308594
0,2056,2057,2060,2060,0.07817649841308594
0,2057,2055,2053,2057,0.07817649841308594
0,2052,2058,2060,2055,0.07817649841308594
0,2053,2060,2056,2061,0.07817649841308594
0,2053,2062,2062,2064,0.07817649841308594
0,2052,2058,2060,2066,0.07817649841308594
0,2054,2062,2059,2065,0.07817649841308594
0,2054,2063,2058,2061,0.07817649841308594
0,2056,2061,2063,2064,0.07817649841308594
0,2058,2061,2065,2062,0.07817649841308594
0,2058,2065,2069,2059,0.07817649841308594
0,2067,2062,2066,2064,0.07817649841308594
0,2053,2059,2068,2062,0.07817649841308594
0,2046,2058,2068,2062,0.07817649841308594
0,2042,2058,2069,2061,0.07817649841308594
0,2058,2053,2065,2055,0.07817649841308594
0,2057,2054,2069,2052,0.07817649841308594
0,2049,2059,2066,2051,0.07817649841308594
0,2057,2054,2062,2050,0.07817649841308594
0,2062,2053,2062,2051,0.07817649841308594
0,2056,2050,2057,2044,0.07817649841308594
0,2035,2047,2059,2044,0.07817649841308594
0,2060,2053,2052,2045,0.07817649841308594
0,2069,2051,2054,2050,0.07817649841308594
0,2045,2054,2055,2046,0.07817649841308594
0,2058,2052,2056,2043,0.07817649841308594
0,2057,2054,2051,2049,0.07817649841308594
0,2062,2054,2054,2052,0.07817649841308594
0,2042,2056,2056,2052,0.07817649841308594
0,2047,2053,2058,2056,0.07817649841308594
0,2060,2054,2052,2052,0.07817649841308594
0,2062,2055,2052,2054,0.07817649841308594
0,2054,2059,2058,2058,0.07817649841308594
0,2047,2056,2058,2055,0.07817649841308594
0,2066,2058,2061,2059,0.07817649841308594
0,2050,2058,2058,2061,0.07817649841308594
0,2053,2059,2060,2060,0.07817649841308594
0,2059,2061,2066,2062,0.07817649841308594
0,2053,2062,2064,2067,0.07817649841308594
0,2052,2064,2064,2062,0.07817649841308594
0,2056,2055,2065,2064,0.07817649841308594
0,2051,2063,2069,2063,0.07817649841308594
0,2049,2059,2068,2062,0.07817649841308594
0,2059,2062,2058,2067,0.07817649841308594
0,2055,2064,2056,2059,0.07817649841308594
0,2061,2058,2060,2062,0.07817649841308594
0,2054,2060,2052,2056,0.07817649841308594
0,2061,2058,2054,2059,0.09376859664916992
0,2060,2060,2054,2054,0.09376859664916992
0,2049,2056,2054,2052,0.09376859664916992
0,2061,2052,2056,2053,0.09376859664916992
0,2056,2051,2055,2049,0.09376859664916992
0,2059,2060,2053,2051,0.09376859664916992
0,2053,2052,2061,2043,0.09376859664916992
0,2054,2053,2052,2039,0.09376859664916992
0,2055,2052,2056,2043,0.09376859664916992
0,2050,2050,2055,2045,0.09376859664916992
0,2054,2056,2053,2044,0.09376859664916992
0,2050,2051,2061,2043,0.09376859664916992
0,2049,2049,2063,2047,0.09376859664916992
0,2055,2049,2062,2056,0.09376859664916992
0,2055,2055,2062,2054,0.09376859664916992
0,2055,2053,2066,2051,0.09376859664916992
0,2057,2055,2064,2055,0.09376859664916992
0,2063,2058,2069,2053,0.09376859664916992
0,2069,2055,2065,2049,0.09376859664916992
0,2047,2058,2064,2058,0.09376859664916992
0,2064,2061,2059,2055,0.09376859664916992
0,2049,2058,2066,2061,0.09376859664916992
0,2057,2062,2069,2064,0.09376859664916992
0,2049,2062,2065,2061,0.09376859664916992
0,2050,2061,2063,2057,0.09376859664916992
0,2053,2059,2066,2062,0.09376859664916992
0,2055,2060,2068,2061,0.09376859664916992
0,2056,2064,2068,2061,0.09376859664916992
0,2057,2062,2063,2062,0.09376859664916992
0,2047,2059,2067,2059,0.09376859664916992
0,2052,2059,2062,2059,0.09376859664916992
0,2052,2058,2063,2056,0.09376859664916992
0,2054,2058,2056,2056,0.09376859664916992
0,2057,2059,2060,2055,0.09376859664916992
