keypressed,sensor 0,sensor 1,sensor 2,sensor 3time
0,2063,2069,2062,2053,0.07804512977600098
0,2064,2071,2064,2057,0.07804512977600098
0,2055,2076,2064,2059,0.07804512977600098
0,2059,2078,2065,2062,0.07804512977600098
0,2062,2073,2068,2059,0.07804512977600098
0,2058,2073,2064,2062,0.07804512977600098
0,2057,2067,2069,2056,0.07804512977600098
0,2059,2069,2065,2062,0.07804512977600098
0,2058,2060,2067,2060,0.07804512977600098
0,2060,2057,2066,2063,0.07804512977600098
0,2060,2052,2062,2056,0.07804512977600098
0,2055,2056,2069,2057,0.07804512977600098
0,2053,2057,2059,2056,0.07804512977600098
0,2055,2053,2064,2055,0.07804512977600098
0,2054,2051,2065,2057,0.07804512977600098
0,2051,2050,2060,2049,0.07804512977600098
0,2043,2053,2057,2051,0.07804512977600098
0,2057,2045,2057,2053,0.07804512977600098
0,2054,2051,2058,2051,0.07804512977600098
0,2062,2052,2054,2051,0.07804512977600098
0,2052,2049,2049,2053,0.07804512977600098
0,2047,2054,2051,2046,0.07804512977600098
0,2055,2049,2050,2047,0.07804512977600098
0,2068,2047,2050,2044,0.07804512977600098
0,2057,2043,2051,2049,0.07804512977600098
0,2056,2060,2053,2052,0.07804512977600098
0,2058,2054,2054,2054,0.07804512977600098
0,2060,2055,2059,2055,0.07804512977600098
0,2053,2059,2064,2051,0.07804512977600098
0,2063,2064,2059,2058,0.07804512977600098
0,2054,2064,2067,2056,0.07804512977600098
0,2064,2060,2063,2056,0.07804512977600098
0,2060,2062,2065,2058,0.07804512977600098
0,2055,2066,2063,2059,0.07804512977600098
0,2060,2068,2068,2061,0.07804512977600098
0,2058,2067,2068,2058,0.07804512977600098
0,2055,2070,2068,2059,0.07804512977600098
0,2054,2069,2067,2060,0.07804512977600098
0,2060,2072,2070,2060,0.07804512977600098
0,2058,2072,2070,2058,0.07804512977600098
0,2061,2066,2065,2056,0.07804512977600098
0,2054,2065,2065,2061,0.07804512977600098
0,2059,2065,2066,2055,0.07804512977600098
0,2063,2063,2059,2055,0.07804512977600098
0,2053,2058,2065,2054,0.07804512977600098
0,2046,2056,2059,2054,0.07804512977600098
0,2051,2052,2058,2051,0.07804512977600098
0,2062,2049,2057,2055,0.07804512977600098
0,2053,2050,2057,2051,0.07804512977600098
0,2051,2051,2058,2055,0.07804512977600098
0,2046,2051,2057,2053,0.07804512977600098
0,2059,2045,2046,2052,0.07804512977600098
0,2054,2042,2053,2049,0.07804512977600098
0,2061,2047,2056,2052,0.07804512977600098
0,2056,2049,2051,2052,0.07804512977600098
0,2057,2051,2052,2055,0.07804512977600098
0,2052,2056,2058,2053,0.07804512977600098
0,2050,2060,2058,2049,0.07804512977600098
0,2059,2062,2062,2054,0.07804512977600098
0,2053,2064,2058,2055,0.07804512977600098
0,2056,2063,2060,2055,0.07804512977600098
0,2067,2065,2061,2057,0.07804512977600098
0,2061,2068,2062,2058,0.07804512977600098
0,2060,2074,2069,2059,0.07804512977600098
0,2058,2070,2071,2061,0.07804512977600098
0,2061,2071,2068,2060,0.07804512977600098
0,2059,2068,2067,2059,0.07804512977600098
0,2061,2067,2067,2058,0.07804512977600098
0,2054,2064,2065,2058,0.07804512977600098
0,2059,2064,2069,2064,0.07804512977600098
0,2052,2066,2065,2060,0.07804512977600098
0,2061,2063,2064,2059,0.07804512977600098
0,2058,2058,2061,2062,0.09366035461425781
0,2063,2062,2062,2055,0.09366035461425781
0,2060,2054,2057,2057,0.09366035461425781
0,2059,2052,2061,2059,0.09366035461425781
0,2051,2057,2061,2055,0.09366035461425781
0,2050,2060,2056,2045,0.09366035461425781
0,2053,2060,2060,2054,0.09366035461425781
0,2053,2060,2059,2050,0.09366035461425781
0,2045,2054,2049,2049,0.09366035461425781
0,2052,2049,2056,2050,0.09366035461425781
0,2049,2060,2051,2050,0.09366035461425781
0,2057,2064,2050,2050,0.09366035461425781
0,2054,2055,2052,2046,0.09366035461425781
0,2054,2044,2050,2046,0.09366035461425781
0,2058,2047,2047,2049,0.09366035461425781
0,2051,2041,2058,2046,0.09366035461425781
0,2044,2044,2059,2049,0.09366035461425781
0,2066,2047,2053,2051,0.09366035461425781
0,2057,2046,2054,2051,0.09366035461425781
0,2055,2043,2057,2051,0.09366035461425781
0,2058,2044,2055,2054,0.09366035461425781
0,2060,2046,2063,2058,0.09366035461425781
0,2065,2056,2064,2057,0.09366035461425781
0,2056,2060,2064,2055,0.09366035461425781
0,2057,2061,2064,2058,0.09366035461425781
0,2059,2068,2069,2058,0.09366035461425781
0,2059,2071,2065,2057,0.09366035461425781
0,2062,2072,2064,2060,0.09366035461425781
0,2055,2069,2067,2060,0.09366035461425781
0,2059,2071,2066,2060,0.09366035461425781
0,2055,2075,2068,2055,0.09366035461425781
